id,name,state_code,state,spider_prefix
4300455,Alegria,RS,Rio Grande do Sul,rs_alegria
3101508,Além Paraíba,MG,Minas Gerais,mg_alem_paraiba
1500404,Alenquer,PA,Pará,pa_alenquer
2400505,Alexandria,RN,Rio Grande do Norte,rn_alexandria
5200308,Alexânia,GO,Goiás,go_alexania
3101607,Alfenas,MG,Minas Gerais,mg_alfenas
3200300,Alfredo Chaves,ES,Espírito Santo,es_alfredo_chaves
3500808,Alfredo Marcondes,SP,São Paulo,sp_alfredo_marcondes
3101631,Alfredo Vasconcelos,MG,Minas Gerais,mg_alfredo_vasconcelos
4200705,Alfredo Wagner,SC,Santa Catarina,sc_alfredo_wagner
2500577,Algodão de Jandaíra,PB,Paraíba,pb_algodao_de_jandaira
2500601,Alhandra,PB,Paraíba,pb_alhandra
2600708,Aliança,PE,Pernambuco,pe_alianca
1700350,Aliança do Tocantins,TO,Tocantins,to_alianca_do_tocantins
2900900,Almadina,BA,Bahia,ba_almadina
1700400,Almas,TO,Tocantins,to_almas
3101706,Almenara,MG,Minas Gerais,mg_almenara
2400604,Almino Afonso,RN,Rio Grande do Norte,rn_almino_afonso
4100400,Almirante Tamandaré,PR,Paraná,pr_almirante_tamandare
4300471,Almirante Tamandaré do Sul,RS,Rio Grande do Sul,rs_almirante_tamandare_do_sul
5200506,Aloândia,GO,Goiás,go_aloandia
3101805,Alpercata,MG,Minas Gerais,mg_alpercata
4300505,Alpestre,RS,Rio Grande do Sul,rs_alpestre
3101904,Alpinópolis,MG,Minas Gerais,mg_alpinopolis
5100250,Alta Floresta,MT,Mato Grosso,mt_alta_floresta
1100015,Alta Floresta D'Oeste,RO,Rondônia,ro_alta_floresta_doeste
3500907,Altair,SP,São Paulo,sp_altair
1500602,Altamira,PA,Pará,pa_altamira
2100402,Altamira do Maranhão,MA,Maranhão,ma_altamira_do_maranhao
4100459,Altamira do Paraná,PR,Paraná,pr_altamira_do_parana
2300606,Altaneira,CE,Ceará,ce_altaneira
3102001,Alterosa,MG,Minas Gerais,mg_alterosa
2600807,Altinho,PE,Pernambuco,pe_altinho
3501004,Altinópolis,SP,São Paulo,sp_altinopolis
4300554,Alto Alegre,RS,Rio Grande do Sul,rs_alto_alegre
1400050,Alto Alegre,RR,Roraima,rr_alto_alegre
3501103,Alto Alegre,SP,São Paulo,sp_alto_alegre
