UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,33105,3133105,Itanhandu
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,33204,3133204,Itanhomi
31,Minas Gerais,03,Jequitinhonha,013,Pedra Azul,33303,3133303,Itaobim
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,021,Frutal,33402,3133402,Itapagipe
31,Minas Gerais,09,Oeste de Minas,044,Formiga,33501,3133501,Itapecerica
31,Minas Gerais,10,Sul/Sudoeste de Minas,052,Pouso Alegre,33600,3133600,Itapeva
31,Minas Gerais,07,Metropolitana de Belo Horizonte,032,Itaguara,33709,3133709,Itatiaiuçu
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,33758,3133758,Itaú de Minas
31,Minas Gerais,09,Oeste de Minas,043,Divinópolis,33808,3133808,Itaúna
31,Minas Gerais,07,Metropolitana de Belo Horizonte,034,Conselheiro Lafaiete,33907,3133907,Itaverava
31,Minas Gerais,03,Jequitinhonha,012,Araçuaí,34004,3134004,Itinga
31,Minas Gerais,08,Vale do Rio Doce,041,Aimorés,34103,3134103,Itueta
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,017,Ituiutaba,34202,3134202,Ituiutaba
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,34301,3134301,Itumirim
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,021,Frutal,34400,3134400,Iturama
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,34509,3134509,Itutinga
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,34608,3134608,Jaboticatubas
31,Minas Gerais,03,Jequitinhonha,014,Almenara,34707,3134707,Jacinto
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,34806,3134806,Jacuí
31,Minas Gerais,10,Sul/Sudoeste de Minas,051,Poços de Caldas,34905,3134905,Jacutinga
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,35001,3135001,Jaguaraçu
31,Minas Gerais,02,Norte de Minas,004,Janaúba,35050,3135050,Jaíba
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,35076,3135076,Jampruca
31,Minas Gerais,02,Norte de Minas,004,Janaúba,35100,3135100,Janaúba
31,Minas Gerais,02,Norte de Minas,003,Januária,35209,3135209,Januária
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,35308,3135308,Japaraíba
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,35357,3135357,Japonvar
31,Minas Gerais,07,Metropolitana de Belo Horizonte,032,Itaguara,35407,3135407,Jeceaba
